#{"t_start": 1746790459.8955474, "env_id": "None"}
r,l,t
-96.0,793,4.074737
-100.0,613,5.710658
-120.0,610,7.455167
-120.0,713,9.339858
-120.0,559,10.710826
-120.0,399,11.771319
-120.0,494,13.239228
-120.0,688,15.235823
-120.0,807,17.651506
-120.0,526,19.024637
-120.0,572,20.645815
-100.0,654,22.194393
-120.0,572,23.619692
-96.0,718,34.579124
-108.0,734,36.430561
-96.0,532,37.833987
-120.0,437,38.841558
-100.0,438,39.938775
-108.0,622,41.587213
-120.0,712,43.691556
-72.0,642,45.223403
-120.0,750,47.425351
-120.0,584,49.373168
-120.0,778,51.088963
-120.0,526,52.502349
-120.0,733,54.506037
