#{"t_start": 1746790459.863344, "env_id": "None"}
r,l,t
-120.0,563,3.578045
-120.0,411,4.458155
-120.0,618,6.225744
-120.0,481,7.644709
-120.0,525,8.99114
-120.0,452,10.087015
-120.0,524,11.478176
-96.0,718,13.594372
-116.0,695,15.465695
-120.0,273,16.535673
-108.0,533,18.018924
-120.0,596,19.545973
-120.0,475,20.919264
-108.0,666,22.473918
-109.0,748,33.413406
-120.0,562,34.909861
-120.0,594,36.416631
-120.0,651,38.106355
-120.0,577,39.456652
-120.0,717,41.356648
-120.0,545,42.964361
-102.0,577,44.395102
-120.0,482,45.750867
-120.0,567,47.376136
-117.0,724,49.606534
-120.0,689,51.17601
-120.0,397,52.214097
-120.0,654,53.951055
