#{"t_start": 1746790460.1692343, "env_id": "None"}
r,l,t
-120.0,470,3.048373
-84.0,535,4.242352
-96.0,554,5.828414
-120.0,851,8.184577
-78.0,946,10.629483
-96.0,387,11.642137
-120.0,543,13.256967
-120.0,525,14.83081
-120.0,475,16.289097
-120.0,448,17.564298
-120.0,521,18.881306
-96.0,713,20.805862
-120.0,511,22.044203
-120.0,498,23.296957
-120.0,522,33.800289
-120.0,396,34.745934
-120.0,551,36.147581
-100.0,741,38.011151
-96.0,477,39.159022
-120.0,603,40.722993
-111.0,914,43.398006
-120.0,770,45.336789
-120.0,484,46.687762
-120.0,356,47.810786
-120.0,522,49.362562
-96.0,585,50.707812
-120.0,714,52.596404
-96.0,532,54.012884
