#{"t_start": 1746790459.4861252, "env_id": "None"}
r,l,t
-120.0,625,4.130723
-120.0,609,5.575583
-120.0,504,7.063554
-120.0,558,8.578235
-120.0,415,9.711301
-100.0,577,11.12028
-120.0,298,11.893178
-120.0,599,13.660894
-120.0,548,15.310891
-120.0,384,16.120059
-120.0,727,18.520421
-96.0,638,20.178702
-120.0,558,21.624802
-120.0,386,22.604877
-120.0,495,23.845402
-120.0,392,33.994986
-120.0,636,35.560088
-120.0,447,36.680676
-120.0,478,37.957368
-96.0,674,39.544803
-120.0,728,41.415416
-120.0,622,43.249931
-120.0,593,44.741443
-120.0,540,46.238151
-120.0,515,47.724054
-120.0,525,49.454228
-120.0,538,50.696735
-96.0,663,52.315262
-120.0,699,54.171518
