#{"t_start": 1746790460.1688359, "env_id": "None"}
r,l,t
-120.0,447,2.989458
-120.0,664,4.533125
-114.0,612,6.316972
-105.0,689,8.184344
-120.0,472,9.377365
-120.0,643,11.044862
-120.0,530,12.557505
-120.0,440,13.906927
-120.0,486,15.145459
-115.0,474,16.707021
-108.0,544,18.226367
-120.0,686,20.059057
-120.0,595,21.499573
-120.0,454,22.656706
-120.0,486,32.952727
-120.0,453,34.20439
-120.0,566,35.58232
-115.0,537,37.018644
-120.0,592,38.428747
-120.0,461,39.599714
-94.0,672,41.365452
-120.0,722,43.491899
-120.0,700,45.234761
-120.0,508,46.667266
-120.0,691,48.947674
-120.0,637,50.365884
-120.0,323,51.153212
-120.0,630,52.829841
