#{"t_start": 1746790459.9455843, "env_id": "None"}
r,l,t
-120.0,605,3.612579
-120.0,580,4.945483
-120.0,594,6.714932
-120.0,523,8.125743
-120.0,611,9.668353
-120.0,502,11.006657
-120.0,588,12.60013
-120.0,338,13.687946
-120.0,519,15.164397
-120.0,546,16.811629
-120.0,597,18.467074
-120.0,445,19.630118
-120.0,430,20.86776
-108.0,725,22.579236
-120.0,681,33.362788
-120.0,678,35.152333
-111.0,533,36.523167
-120.0,541,37.945046
-120.0,477,39.029197
-120.0,499,40.312341
-120.0,770,42.430811
-84.0,596,44.048794
-96.0,562,45.550516
-120.0,456,46.826586
-90.0,610,48.834799
-120.0,469,49.929686
-120.0,507,51.155513
-120.0,358,52.08549
-120.0,527,53.473511
