#{"t_start": 1746790459.899185, "env_id": "None"}
r,l,t
-120.0,477,3.337903
-120.0,566,4.649089
-120.0,666,6.5573
-115.0,465,7.873635
-120.0,500,9.217334
-120.0,522,10.42573
-120.0,558,11.955754
-108.0,626,13.856552
-120.0,438,15.132592
-96.0,583,16.858485
-120.0,570,18.441085
-96.0,590,19.987707
-84.0,749,21.890096
-120.0,535,23.240243
-120.0,623,34.00657
-120.0,481,35.166353
-120.0,520,36.499379
-84.0,667,38.18473
-108.0,602,39.612132
-120.0,435,40.75881
-120.0,796,43.059085
-108.0,577,44.4597
-120.0,614,46.222517
-105.0,664,48.188478
-120.0,344,49.378781
-115.0,595,50.656168
-120.0,478,51.826651
-120.0,565,53.348375
