#{"t_start": 1746790459.8947408, "env_id": "None"}
r,l,t
-96.0,561,3.546304
-120.0,401,4.410312
-120.0,601,6.12792
-120.0,590,7.823875
-120.0,534,9.25851
-120.0,410,10.194878
-120.0,603,11.81353
-120.0,443,13.146137
-120.0,782,15.335498
-84.0,484,16.881601
-120.0,537,18.38789
-120.0,540,19.793823
-115.0,544,21.197838
-120.0,495,22.434681
-120.0,566,23.870613
-96.0,704,34.773202
-120.0,646,36.409515
-120.0,538,37.834121
-120.0,343,38.57129
-67.0,682,40.305362
-114.0,589,41.931447
-120.0,655,43.823795
-120.0,637,45.406796
-120.0,930,48.169453
-120.0,517,49.684418
-120.0,384,50.551812
-96.0,677,52.285847
-120.0,505,53.593662
