#{"t_start": 1746790459.8992505, "env_id": "None"}
r,l,t
-120.0,506,3.405116
-120.0,532,4.622876
-120.0,489,5.995601
-120.0,380,7.135085
-120.0,668,8.874926
-120.0,580,10.308753
-120.0,561,11.825603
-120.0,727,14.024978
-120.0,555,15.444576
-120.0,368,16.746966
-120.0,602,18.414944
-120.0,427,19.510988
-120.0,550,21.023522
-96.0,497,22.215459
-120.0,466,23.392303
-76.0,822,34.605798
-96.0,632,36.178905
-120.0,468,37.41653
-120.0,597,38.846107
-96.0,561,40.251568
-120.0,509,41.623914
-115.0,732,43.771822
-120.0,393,44.654884
-120.0,657,46.518902
-120.0,484,47.995122
-120.0,636,49.796713
-120.0,618,51.262421
-120.0,529,52.698396
-120.0,561,54.155135
