#{"t_start": 1746790459.8991053, "env_id": "None"}
r,l,t
-120.0,432,3.211647
-120.0,438,4.21549
-100.0,668,6.027335
-120.0,475,7.429421
-120.0,549,8.841561
-120.0,395,9.80566
-120.0,513,11.180423
-108.0,588,12.839567
-120.0,513,14.4528
-120.0,614,16.315704
-120.0,407,17.365763
-120.0,449,18.619931
-96.0,695,20.522589
-120.0,570,21.867737
-120.0,728,23.704435
-72.0,677,34.562475
-120.0,706,36.331854
-120.0,651,38.038092
-118.0,633,39.513739
-114.0,536,40.91385
-120.0,475,42.245981
-120.0,535,43.811382
-120.0,537,45.059646
-120.0,724,47.179984
-120.0,575,49.086128
-120.0,551,50.33614
-120.0,547,51.666917
-120.0,641,53.379479
-120.0,456,54.698942
