#{"t_start": 1746790459.946694, "env_id": "None"}
r,l,t
-120.0,519,3.386333
-96.0,1007,5.942164
-120.0,482,7.363621
-105.0,667,9.161512
-108.0,507,10.330676
-96.0,741,12.363901
-120.0,559,14.095989
-120.0,475,15.3292
-120.0,547,17.085059
-120.0,435,18.297538
-120.0,651,19.995469
-120.0,859,22.178612
-120.0,595,23.667301
-120.0,653,34.468654
-115.0,677,36.158766
-120.0,591,37.725267
-120.0,501,38.889458
-120.0,614,40.457654
-120.0,498,41.809962
-120.0,538,43.437109
-120.0,541,44.700551
-120.0,440,45.980812
-120.0,607,47.713099
-115.0,568,49.507996
-120.0,505,50.636089
-96.0,446,51.726571
-94.0,623,53.39309
