#{"t_start": 1746790459.9158328, "env_id": "None"}
r,l,t
-100.0,495,3.361663
-120.0,652,4.874573
-120.0,374,5.960249
-120.0,399,7.15177
-120.0,572,8.649727
-115.0,486,9.830709
-120.0,282,10.575906
-120.0,600,12.210758
-120.0,538,13.873169
-120.0,601,15.437315
-96.0,634,17.4805
-120.0,360,18.46772
-120.0,664,20.23315
-120.0,492,21.413915
-120.0,587,22.910124
-120.0,996,34.578306
-120.0,485,35.767767
-96.0,644,37.475629
-84.0,631,38.968697
-120.0,485,40.193588
-120.0,478,41.476637
-120.0,571,43.190613
-120.0,440,44.237221
-84.0,643,46.021471
-96.0,608,47.756826
-120.0,436,49.288203
-120.0,482,50.299391
-120.0,370,51.194053
-120.0,559,52.703805
-120.0,436,53.808401
