#{"t_start": 1746790459.9129581, "env_id": "None"}
r,l,t
-108.0,602,3.63716
-114.0,498,4.773091
-120.0,267,5.590075
-120.0,618,7.339656
-120.0,570,8.82002
-120.0,428,9.850428
-120.0,380,10.909887
-120.0,576,12.45206
-120.0,550,14.149283
-120.0,435,15.304369
-120.0,508,16.904359
-114.0,576,18.502241
-120.0,393,19.521252
-120.0,645,21.203964
-108.0,721,23.001136
-120.0,801,34.212559
-120.0,538,35.509328
-120.0,406,36.585925
-120.0,612,38.139537
-120.0,308,38.853009
-120.0,463,40.007406
-120.0,486,41.30743
-120.0,606,43.100331
-120.0,577,44.479743
-108.0,774,46.690193
-120.0,631,48.727014
-120.0,548,50.038745
-120.0,681,51.699579
-120.0,661,53.464408
