#{"t_start": 1746790459.964136, "env_id": "None"}
r,l,t
-120.0,535,3.408577
-120.0,645,4.915825
-116.0,580,6.648598
-120.0,682,8.477675
-120.0,294,9.279908
-120.0,569,10.701179
-108.0,619,12.357817
-120.0,679,14.477099
-96.0,549,16.169546
-96.0,530,17.612944
-120.0,466,18.822096
-120.0,742,20.871113
-120.0,434,21.870441
-120.0,430,22.929398
-120.0,528,33.333421
-120.0,498,34.674043
-96.0,749,36.585877
-120.0,653,38.21594
-120.0,320,38.975069
-120.0,481,40.194209
-120.0,497,41.541299
-120.0,621,43.40541
-120.0,533,44.654965
-120.0,658,46.518756
-120.0,476,47.981611
-120.0,508,49.52074
-120.0,566,50.796439
-120.0,548,52.216518
-120.0,506,53.525013
