#{"t_start": 1747061058.1199172, "env_id": "None"}
r,l,t
-635.0,785,65.840216
-765.0,803,75.497307
-445.0,1148,84.496081
-610.0,715,89.569204
-765.0,700,95.531992
-635.0,810,101.842149
