#{"t_start": 1747061058.6106868, "env_id": "None"}
r,l,t
-765.0,615,22.760648
-650.0,869,74.272135
-640.0,1036,82.472805
-765.0,590,86.66114
-515.0,743,92.771616
-605.0,1094,101.255675
