#{"t_start": 1747061057.182222, "env_id": "None"}
r,l,t
-765.0,741,66.189162
-610.0,716,75.493806
-765.0,901,82.670156
-765.0,761,88.191443
-515.0,1069,96.79612
-765.0,646,101.844972
