#{"t_start": 1747061058.125296, "env_id": "None"}
r,l,t
-765.0,917,67.566965
-765.0,723,75.858324
-635.0,1000,83.818552
-635.0,751,89.147526
-765.0,754,95.490482
-765.0,751,101.343221
