#{"t_start": 1747061057.8950853, "env_id": "None"}
r,l,t
-765.0,786,66.065818
-765.0,679,74.840599
-635.0,784,81.152644
-765.0,687,86.109511
-765.0,587,90.30374
-765.0,639,95.843997
-765.0,818,102.22656
