#{"t_start": 1747061058.608169, "env_id": "None"}
r,l,t
-765.0,885,66.661387
-635.0,796,75.888491
-605.0,876,82.744481
-560.0,811,88.509948
-560.0,697,94.399698
-690.0,683,99.686672
